number,title,detail_url,dozierende
052-0603-00L,Tragwerksentwurf I,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194539&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"P. Block, L. Enrique Monzo"
052-0901-00L,Baugeschichte I,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194814&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,S. Holzer
052-0703-00L,Soziologie I,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195499&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"N. Bathla, H. Widmer"
052-0803-00L,Architekturgeschichte und -theorie I,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193892&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"T. Avermaete, M. Delbeke, C. Rachele, P. Ursprung"
052-0601-00L,Baumaterialien I,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194529&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,J. Pauli
052-0605-00L,Computational Design I,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=192947&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"B. Dillenburger, A. Savov"
052-0709-00L,Perspektiven auf Landschaft und Urbane Transformation I,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194898&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"L. Fink, F. Persyn, C. Schaeben"
052-0501-00L,Entwerfen und Konstruieren I,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193110&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"R. Boltshauser, D. Mettler, D. Studer"
052-0503-00L,Kunst in Raum und Zeit I,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193961&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"R. Barba, H. E. Franzen, M. Narula"
052-0607-00L,Tragwerksentwurf III,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193681&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,J. Pauli
052-0805-00L,Architekturgeschichte und -theorie III,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193732&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"L. Stalder, A. Kalpakci"
052-0635-00L,Computational Design III,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193601&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"B. Dillenburger, B. Bickel, A. Savov"
151-8009-00L,Building Physics II,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193314&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"J. Carmeliet, M. Ettlin, A. Rubin"
052-0801-00L,Global History of Urban Design I,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193611&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"T. Avermaete, N. La Hausse de Lalouviere"
052-0707-00L,Urban Design III,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194255&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"H. Klumpner, F. T. Salva Rocha Franco"
052-0807-00L,Architekturgeschichte und -theorie V,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193112&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,P. Ursprung
052-0651-00L,Bauprozess I,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=192757&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,S. Menz
052-0705-00L,Landschaftsarchitektur I,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=192768&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"M. Uzor, A. Bucher"
052-0609-00L,Energie- und Klimadesign I,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=192792&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"A. Schlüter, I. Hischier"
052-0507-00L,Konstruktion V,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194056&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"A. Meuwly, A. Comte"
052-0541-25L,Architectural Design III: One to One to One to Ten Thousand  (COMTE/MEUWLY),https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194831&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"M. Kaijima, D. Mettler, A. Meuwly, A. Comte, J. De Vylder, D. Mesa Molina, D. Studer"
052-0545-25L,Architectural Design III: Ready-Unmade: HIL (D. Mesa Molina),https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194861&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"M. Kaijima, D. Mesa Molina, D. Mettler, A. Comte, J. De Vylder, A. Meuwly, D. Studer"
052-0547-25L,Architectural Design III: Do we live a house? Or do we house a life?  (J.De Vylder),https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195299&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"J. De Vylder, M. Kaijima, D. Mettler, A. Comte, D. Mesa Molina, A. Meuwly, D. Studer"
052-0543-25L,Architectural Design III: House Behaviorology in Switzerland – Basel (M.Kaijima),https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195300&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"M. Kaijima, D. Mettler, A. Comte, J. De Vylder, D. Mesa Molina, A. Meuwly, D. Studer"
052-0591-25L,Entwurf V-IX: in Linn (GD L. Bollinger),https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195355&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,L. Bollinger
052-0661-25L,Architectural Design V-IX: Soft permanence (GD A. Solanellas Teres / M. Meister / C. Van Noten),https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195380&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"M. Meister, A. Solanellas Teres, C. Van Noten"
052-1103-25L,Architectural Design V-IX: Our House (2) (GD O.Lütjens / T.Padmanabhan),https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195404&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"O. Lütjens, T. Padmanabhan"
052-1107-25L,Entwurf V-IX : sutura  (M. Voser),https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195405&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,M. Voser
052-1109-25L,Architectural Design V-IX: Blatten – Building on Unstable Grounds (E. Christ / C. Gantenbein),https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195406&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"E. Christ, C. Gantenbein"
052-1113-25L,Architectural Design V-IX: Exactitude  (A.Theriot),https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195410&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,A. Theriot
052-1119-25L,Architectural Design V-IX: Right To Housing (A.Brandlhuber),https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195412&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,A. Brandlhuber
052-1121-25L,Architectural Design V-IX: Schoolplay (F. Persyn),https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195413&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,F. Persyn
052-1123-25L,Architectural Design V-IX: Climate Echoes: Prime Tower Site (T. Rapelli),https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195415&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,T. Rapelli
052-1125-25L,Entwurf V-IX: Kalk  (E.Mosayebi),https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195416&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,E. Mosayebi
052-1129-25L,Architectural Design V-IX: Delos (GD I. Sklavounos),https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195417&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,I. I. Sklavounos
