number,title,detail_url,dozierende
101-1187-00L,Kolloquium Baustatik und Konstruktion (Herbstsemester),https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193253&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"A. Taras, E. Chatzi, A. Frangi, W. Kaufmann, B. Stojadinovic, B. Sudret"
101-1387-00L,Kolloquien in Geotechnik,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193453&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"A. Puzrin, I. Anastasopoulos, L. Cantieni"
401-0141-00L,Lineare Algebra,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193166&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,M. Akka Ginosar
151-0501-03L,Mechanik I,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193755&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,E. Mazza
651-0032-00L,Geologie und Petrographie,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194631&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"K. Rauchenstein, M. O. Saar"
101-0700-00L,Programming for Engineers,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=192552&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"B. Sudret, N. Lüthen"
851-0703-03L,Privates Baurecht,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193157&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"T. Ender, E. Rüegg"
851-0709-00L,Introduction au Droit civil,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193004&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,H. Peter
401-0241-00L,Analysis I,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=192779&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,M. Akveld
401-0243-00L,Analysis III,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193677&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,M. Akka Ginosar
402-0023-01L,Physics,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194358&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,S. Johnson
101-0203-01L,Hydraulik I,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193093&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,R. Stocker
101-0113-00L,Baustatik I,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193568&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,B. Sudret
151-0503-00L,Mechanics III,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=192681&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,D. Kochmann
101-6615-00L,Werkstoffe im Bauwesen I,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194346&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"R. J. Flatt, D. Kammer, F. Wittel"
101-0315-00L,Grundbau,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194047&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"A. Puzrin, D. Hauswirth"
