number,title,detail_url,dozierende
871-0240-00L,Menschliches Lernen (EW1),https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193719&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"M. Rau, C. H. Müller"
871-0240-22L,Bewältigung psychosozialer Anforderungen im Lehrberuf (EW4 DZ),https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193421&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"S. Maurer, P. Caprez, C. H. Müller"
871-0242-06L,Kognitiv aktivierender Unterricht in den MINT-Fächern,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193024&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,R. Schumacher
871-0242-07L,Menschliche Intelligenz,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193343&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,E. Stern
871-0227-00L,Grundlagen der Wissenschaftstheorie für den naturwissenschaftlichen Unterricht,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=192535&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,R. Schumacher
871-0228-00L,MINTerlink: Die Bildung von Wissen in MINT Fächern auf der Primar- und Sekundarstufe,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=192656&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,U. Markwalder
376-1309-00L,"The Social Brain: Critical Perspectives on Science, Society and Neurodiversity",https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194652&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,R. Ramsey
871-0226-00L,Effective Teaching with Visualizations,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194884&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"M. Rau, I. Paksoy"
871-0240-00L,Menschliches Lernen (EW1),https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193719&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"M. Rau, C. H. Müller"
871-0238-01L,Unterstützung und Diagnose von Wissenserwerbsprozessen (EW3),https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=192916&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"C. M. Thurn, C. Brand"
