number,title,detail_url,dozierende
636-0101-00L,Systems Genomics,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193849&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"B. Treutlein, C. Beisel, Z. He"
636-0102-10L,Advanced Bioengineering,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193635&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"S. Panke, P. S. Dittrich, M. Fussenegger, A. Hierlemann, M. H. Khammash, P. Liberali, A. Moor, M. Nash, R. Platt, T. Schroeder, J. Stelling, B. Wicky"
636-0201-00L,Lab Course: Methods in Cell Analysis and Laboratory Automation,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=192863&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,T. Horn
636-0203-00L,Lab Course: Microsystems and Microfluidics in Biology,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194482&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"P. S. Dittrich, A. Hierlemann"
636-0204-00L,Lab Course: Microbial Biotechnology,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194426&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,M. Held
636-0103-00L,Microtechnology,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=192801&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,A. Hierlemann
636-0104-00L,Biophysical Methods,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194606&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,D. J. Müller
636-0107-00L,Biotechnology of Enzymes,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194663&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,S. Panke
636-0108-00L,Biological Engineering and Biotechnology,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=192742&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,M. Fussenegger
636-0109-00L,Stem Cells: Biology and Therapeutic Manipulation,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194324&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,T. Schroeder
636-0117-00L,Mathematical Modelling for Bioengineering and Systems Biology,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193007&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,D. Iber
636-0118-00L,Introduction to Dynamical Systems with Applications to Biology,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=192682&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,M. H. Khammash
636-0125-00L,Protein Design,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195719&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,B. Wicky
636-0550-00L,Biomolecular Nanotechnology,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193159&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,M. Nash
636-0126-00L,Multicellular Systems,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=197298&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,P. Liberali
636-0015-00L,An Introduction to Probability Theory and Stochastic Processes with Applications to Biology,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193221&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,
636-0017-00L,Computational Biology,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193579&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"T. Vaughan, C. Magnus, T. Stadler"
636-0119-00L,Introduction to Statistics and R,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193600&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,J. Kuipers
262-0201-00L,Multimodal Medical AI,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195722&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,M. Moor
636-0511-00L,Developmental Neuroscience (University of Basel),https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193530&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,
